Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
dict/Set/combine/reverse,0.3729326721871378,0.34850304656356457,0.3867311812488575,2.3671460683619232e-2,2.0629396286413505e-3,2.9803352056156113e-2
URI/ADFA/construction/fromList,0.4530097985628648,0.39869388831448305,0.5283536627496991,8.014067782067975e-2,1.934870796104201e-2,0.10626171021799816
URI/ADFA/construction/fromAscList,0.37022602729272575,0.31231555083407636,0.42813650375137513,7.227373884098635e-2,3.438193416756499e-2,9.403767879539558e-2
URI/ADFA/query/isEmpty,2.1028308066495004e-6,2.0623552778065475e-6,2.1571349154994447e-6,1.7222959779384271e-7,1.3343286304769005e-7,2.3284406923008864e-7
URI/ADFA/query/stringCount,9.596293853301498e-2,9.218790749185853e-2,0.10289469327784631,8.318026235357653e-3,4.1857348067731665e-3,1.2979402438088162e-2
URI/ADFA/query/enumerate10,2.7790459229899722e-6,2.7079790108319893e-6,2.9785168117523207e-6,4.108864067262382e-7,1.0675851230848145e-7,7.702144633078371e-7
URI/ADFA/query/member,6.098752828393945e-5,6.018097772600773e-5,6.280553519819322e-5,3.6000502058249514e-6,2.05167279767407e-6,6.434997003263964e-6
URI/ADFA/query/eqv1,1.2966626130831476,1.2478147261669315,1.3455104999993637,6.290383903412258e-2,2.790376099983405e-2,8.058887479237262e-2
URI/ADFA/query/eqv2,1.2456834187685975,1.2018607376862747,1.2792724216856186,4.4635915800439845e-2,2.0892217052910958e-2,5.959154212725801e-2
URI/ADFA/query/eqv3,0.9015259721873008,0.881973523999477,0.9088313029378696,1.3247657057904804e-2,1.8796315016516019e-3,1.6870938701440654e-2
URI/ADFA/optimize/minify,2.7648788297922997,2.6678018104994408,2.845367467502001,0.1127549397020053,6.697836625062337e-2,0.13669010649234786
URI/ADFA/optimize/topSort,0.36620696183369245,0.30978247500024736,0.388191770583641,3.922835335058273e-2,8.044921166704938e-3,5.077174099946099e-2
URI/ADFA/optimize/topSort',0.4484341070201481,0.4094640295825229,0.47150672039515484,3.862612067954534e-2,1.435029862477677e-2,5.3283918171873265e-2
URI/ADFA/optimize/prune,0.48027135077139366,0.4349407998734023,0.5265663778782255,5.777908034421327e-2,2.7682557335841323e-2,7.494872158967096e-2
URI/ADFA/optimize/prune',0.4205378367510093,0.3663107291254164,0.46062318225222043,5.500410967310474e-2,2.7706000476707824e-2,7.260176026759235e-2
URI/ADFA/combine/union,2.159062150915967,2.1365768259993274,2.1779104148339075,2.3532997800493158e-2,9.471080328614927e-3,3.0699356951183573e-2
URI/ADFA/combine/intersection,0.670741090020177,0.6613586787498207,0.6865322441872195,1.4966121086801608e-2,1.154641843970768e-3,1.881137514029911e-2
URI/ADFA/combine/difference,1.2543473186876024,1.1943879063119311,1.292460453687454,5.7628597146148715e-2,1.2522232837472308e-2,7.549628216982725e-2
URI/ADFA/combine/symdiff,2.1505445564163588,2.087744529667058,2.1745683789990835,4.302662011607667e-2,6.395100998815906e-3,5.5480641740399475e-2
URI/ADFA/combine/append,0.20092124722452556,0.19204190515520167,0.20886892967238158,1.1142676937136982e-2,7.2798772528557525e-3,1.5397233300599108e-2
URI/ADFA/combine/prefixes,6.425429673122882e-2,5.823197544186227e-2,7.09180371195341e-2,1.1455410969064305e-2,8.124709877680523e-3,1.5915233227520205e-2
URI/ADFA/combine/suffixes,6.321155251689106,6.249030935001429,6.451235651190018,0.1268801207643493,1.7560845999469166e-2,0.16034266650128215
URI/ADFA/combine/reverse,1.9821043678740957,1.9076969406237367,2.030251833499581,7.8739790000831e-2,2.126984948619376e-3,9.62949312509711e-2
URI/ADFA/combine/reverse_manual,0.7042300160222416,0.6546223813129473,0.7290341139396332,4.6772254074629864e-2,1.693730962506379e-2,5.728261043844777e-2
URI/Trie/construction/fromList,0.21449075843443602,0.20497332482555067,0.2304760387234839,1.802977007139054e-2,6.705735876291242e-3,2.5347254533174976e-2
URI/Trie/construction/fromAscList,0.1165159447619425,0.11238992978716765,0.12096340933294414,6.2255080457364505e-3,4.8764621215541485e-3,7.6075635146231144e-3
URI/Trie/query/isEmpty,3.327236504685806e-9,3.314332490128537e-9,3.373498979268477e-9,7.749577007170856e-11,1.6752031268334234e-11,1.5882846491677247e-10
URI/Trie/query/stringCount,2.4708447382369988e-2,2.434020501081405e-2,2.5167233903569525e-2,8.262018278117143e-4,6.285122800182444e-4,1.164131807083304e-3
URI/Trie/query/enumerate10,1.3761238876164564e-6,1.3250030252822653e-6,1.5035000146759305e-6,2.5506266072380307e-7,1.3786464781112395e-7,4.668231884569649e-7
URI/Trie/query/member,6.288962626634385e-5,6.21804010450828e-5,6.356592499019791e-5,2.610264228997714e-6,1.8074686884398475e-6,3.490845001054804e-6
URI/Trie/query/eqv1,4.2135232267452485e-2,4.145371716063168e-2,4.3629086975986886e-2,2.116067844984624e-3,9.072696977441622e-4,3.4876600658252464e-3
URI/Trie/query/eqv3,1.1259069663321617e-5,1.1020916149563388e-5,1.2041530466033408e-5,1.3085963664471269e-6,6.138863581319374e-7,2.490234011293468e-6
URI/Trie/combine/union,7.050534866505688e-2,6.926828197825739e-2,7.21492585030587e-2,2.544599421846448e-3,1.8645812835355617e-3,3.363191614294344e-3
URI/Trie/combine/intersection,7.857378222083536e-2,7.460509465293702e-2,8.348022761913723e-2,8.024173478852106e-3,6.902476282803437e-3,9.15231057237125e-3
URI/Trie/combine/difference,3.632533216038479e-2,3.5720139550454943e-2,3.710005162073766e-2,1.554147086299679e-3,1.0722750639202382e-3,2.214385585505274e-3
URI/Trie/combine/append,4.412283105246128e-3,4.255952355965861e-3,4.619433866141793e-3,5.552135210275821e-4,3.9383346367634147e-4,7.632829506189623e-4
URI/Trie/combine/prefixes,6.116552231255353e-2,5.864189150563693e-2,6.292717083694056e-2,4.2092070038600715e-3,2.5290203018627556e-3,6.071985816010707e-3
URI/Trie/combine/suffixes,1.5498030761458115,1.5291147961252136,1.5841837362495426,3.282361794491731e-2,5.4029551247367635e-3,4.153874096447777e-2
URI/Trie/combine/reverse,0.21410093445590772,0.20304244627873735,0.2200460775390133,1.2203031480467861e-2,4.224203533633205e-3,1.8350466632874752e-2
URI/Set/construction/fromList,0.13427670588347113,0.13349978445184466,0.13569490625409453,1.824519881562281e-3,1.016348798306145e-3,2.6356881680306412e-3
URI/Set/construction/fromAscList,1.4122167270419239e-2,1.4027011092710784e-2,1.4231215523991605e-2,2.672520034473215e-4,1.660167662329359e-4,4.171389741833989e-4
URI/Set/query/isEmpty,2.8052523536664184e-9,2.7980867927308878e-9,2.8193147054646993e-9,3.406930415713295e-11,2.2795007369698424e-11,5.552597794052057e-11
URI/Set/query/stringCount,3.6144121150226194e-9,3.4752114672480427e-9,3.9417829982141304e-9,7.069892877709466e-10,4.175382536599018e-10,1.1256493376859059e-9
URI/Set/query/enumerate10,8.182211234820755e-8,7.959213222014153e-8,8.895959544244013e-8,1.2777291070112657e-8,4.194195581430312e-9,2.7801160597454448e-8
URI/Set/query/member,1.4501843817236963e-4,1.41630740872531e-4,1.5642104345079053e-4,1.961491474374632e-5,2.8092863142992513e-6,4.130471440970755e-5
URI/Set/query/eqv1,1.8727655369893292e-2,1.856162346681406e-2,1.8843314625905796e-2,3.311852834698012e-4,2.4234973410564668e-4,4.6154596099126703e-4
URI/Set/query/eqv3,4.740936463491749e-9,4.7304976242176784e-9,4.760262654486633e-9,4.8127584166635374e-11,2.9544808309644663e-11,8.073031970507954e-11
URI/Set/combine/union,3.360366773823663e-2,3.3407733102792596e-2,3.3786094799102384e-2,3.785232104024374e-4,2.8820211568973843e-4,4.71743318584465e-4
URI/Set/combine/intersection,3.0019144851815317e-2,2.9918462101238517e-2,3.011129691372488e-2,2.2126436223644262e-4,1.355997945311786e-4,3.419210558620039e-4
URI/Set/combine/difference,2.948824661592025e-2,2.9314072318861416e-2,2.979187650751925e-2,4.5093178358950026e-4,2.1651812640657495e-4,7.0838894480865e-4
URI/Set/combine/append,0.2635197395505869,0.2597521227003502,0.27391889480059034,7.704077803530362e-3,8.935149624759164e-4,1.0261188987037213e-2
URI/Set/combine/prefixes,1.5208518901242012,1.493844325250393,1.5478594549980094,3.768226552510628e-2,4.299893205701975e-3,4.8137012571285734e-2
URI/Set/combine/suffixes,2.908256720375448,2.8130031252517256,2.9642696651249025,9.411969298300685e-2,2.488984752221997e-2,0.12935635491680503
URI/Set/combine/reverse,8.493433530440626e-2,8.269239007112779e-2,8.810317668353188e-2,4.543323985152138e-3,2.6353831748853257e-3,6.5656846982722694e-3
