DataSet,Name,Category,Method,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
URI,ADFA,combine,suffixes,5.130252623542522,5.083232077372182,5.1933175270823995,6.209347683158986e-2,2.525076560795199e-2,8.333853434760338e-2
URI,ADFA,combine,reverse,2.062107388623796,1.9639920492481906,2.1602227279994013,0.11914149487936405,6.620164850028232e-2,0.15014459123567925
URI,ADFA,combine,reverse_manual,0.333363152196398,0.3080533799948171,0.34853933478007093,2.5385370602318776e-2,1.034372825423438e-2,3.50478923998179e-2
URI,Trie,construction,fromList,0.191636826916753,0.18694766561384313,0.19686661416781134,6.693255781250959e-3,4.535192815643234e-3,8.985739743514085e-3
URI,Trie,construction,fromAscList,0.10030617286846706,9.764540359773406e-2,0.10504130935361092,5.663210187186117e-3,2.782625395441069e-3,9.038366864236862e-3
URI,Trie,query,isEmpty,4.6977213290505175e-9,4.680009725736002e-9,4.7329578826014295e-9,7.217165695201758e-11,5.2616824893506504e-11,1.0078232260157997e-10
URI,Trie,query,stringCount,2.2768214234391005e-2,2.2537831057144988e-2,2.325678463496395e-2,7.27808903976372e-4,2.5270359777233587e-4,1.1493288712164328e-3
URI,Trie,query,enumerate10,1.3165308042334825e-6,1.2814337924076879e-6,1.3748218938381534e-6,1.5376266007285895e-7,9.951809448431933e-8,2.2521094523388115e-7
URI,Trie,query,member,6.971474028218766e-5,6.852332867297427e-5,7.111352585584778e-5,4.396152824842669e-6,3.6541670303192244e-6,6.104873015059792e-6
URI,Trie,query,eqv1,4.1070945498941656e-2,4.071282047275969e-2,4.177628068214812e-2,9.278394696233297e-4,6.188789183909287e-4,1.2719036359539672e-3
URI,Trie,query,eqv3,7.356199603477051e-6,7.285026190540438e-6,7.504367701640891e-6,3.552028786306196e-7,1.6421341158282796e-7,6.077263758340542e-7
URI,Trie,combine,union,5.8833333405469805e-2,5.738921560265544e-2,6.034149943162522e-2,2.715416675604626e-3,1.9393702684407292e-3,3.9820689824986615e-3
URI,Trie,combine,intersection,6.568671500835423e-2,6.35521338698156e-2,6.80906984060665e-2,3.7950571417897793e-3,2.9716642383481578e-3,5.162917101570782e-3
URI,Trie,combine,difference,3.3177733163972545e-2,3.2636385300083066e-2,3.443591145248489e-2,1.5678929538355852e-3,1.0488661169362715e-3,2.4496575015711037e-3
URI,Trie,combine,append,3.960343256425951e-3,3.8252567862194467e-3,4.157941503541697e-3,5.093255209826883e-4,3.5422621702463526e-4,7.199341160113276e-4
URI,Trie,combine,prefixes,7.756896107595286e-8,7.638124664834494e-8,7.968327600409884e-8,5.109057920258496e-9,3.2930996114188243e-9,8.567320337134907e-9
URI,Trie,combine,suffixes,1.31166805048512,1.2731551101023797,1.3329361164942384,3.650608313639975e-2,1.0922682005912066e-2,4.712652807627172e-2
URI,Trie,combine,reverse,0.22163819126176854,0.2155559086725892,0.2270764529336399,7.86224239686928e-3,5.0964830894304715e-3,1.1859092806299008e-2
URI,Set,construction,fromList,0.10375643173032284,0.10325794358504936,0.10479821121426688,1.175492628427808e-3,4.344974529917893e-4,1.882823825267252e-3
URI,Set,construction,fromAscList,1.5292681287482717e-2,1.5183069677284399e-2,1.5424080957555202e-2,2.8411626331168095e-4,2.0854543963557862e-4,3.713770099133024e-4
URI,Set,query,isEmpty,4.374151302644228e-9,4.36121288576267e-9,4.388924619512178e-9,4.6430474144142106e-11,3.457264860567254e-11,5.886891515923675e-11
URI,Set,query,stringCount,5.7200657594250965e-9,5.629798841896349e-9,6.146996643288597e-9,5.183627356861569e-10,1.6138960021125353e-10,1.1188259000437739e-9
URI,Set,query,enumerate10,1.8337754984134535e-7,1.7691045575373406e-7,1.9760120842147585e-7,3.28423115771334e-8,1.5748448201376005e-8,5.706320590601205e-8
URI,Set,query,member,1.5004606741652555e-4,1.4865707309173027e-4,1.5197514289326677e-4,5.57060401349046e-6,3.901432074103885e-6,8.199020702205015e-6
URI,Set,query,eqv1,9.558572555499073e-3,9.501805084743357e-3,9.673128897171774e-3,2.162691053947113e-4,8.031910720985344e-5,3.604012960982385e-4
URI,Set,query,eqv3,5.481456965962945e-9,5.458621615826081e-9,5.51449486465452e-9,7.901510325984014e-11,6.301092449172187e-11,1.0103238827650644e-10
URI,Set,combine,union,2.4924159975022946e-2,2.4815256494563745e-2,2.5090663660387397e-2,3.0288775159360447e-4,2.0626680749199147e-4,4.424658599726951e-4
URI,Set,combine,intersection,2.3959448344178357e-2,2.3693329909173378e-2,2.4617140980866547e-2,9.074575177537686e-4,2.92406191424732e-4,1.4158804623329757e-3
URI,Set,combine,difference,2.5652974323285158e-2,2.5517527762062744e-2,2.6021289898304104e-2,4.525139811701091e-4,2.5724724356422505e-4,7.542374121443726e-4
URI,Set,combine,append,0.18246143094018205,0.17779028828307572,0.18983431141694182,8.396361467018646e-3,2.71901986056069e-3,1.1847300548628634e-2
URI,Set,combine,prefixes,1.3675296209742858,1.3479894207266625,1.3998849801622175,3.159415823304687e-2,1.0114952996186654e-2,4.241822717185219e-2
URI,Set,combine,suffixes,2.540324430645948,2.5178516811380782,2.560740034765331,2.3815375395845405e-2,1.8445305230588592e-2,2.623035713003483e-2
URI,Set,combine,reverse,7.235823176385375e-2,7.074837855406958e-2,7.394687968346057e-2,2.991943192589391e-3,1.8505537338449189e-3,4.4951250575595856e-3
